Quaternary,Quat_code
D54F,4050406
D54G,4050407
D55A,4050501
D55B,4050502
D55C,4050503
D55D,4050504
D55E,4050505
D55F,4050506
D55G,4050507
D55H,4050508
D55J,4050509
D55K,4050510
D55L,4050511
D55M,4050512
D56A,4050601
D56B,4050602
D56C,4050603
D56D,4050604
D56E,4050605
D56F,4050606
D56G,4050607
D56H,4050608
D56J,4050609
D57A,4050701
D57B,4050702
D57C,4050703
D57D,4050704
D57E,4050705
D58A,4050801
D58B,4050802
D58C,4050803
D61A,4060101
D61B,4060102
D61C,4060103
D61D,4060104
D61E,4060105
D61F,4060106
D61G,4060107
D61H,4060108
D61J,4060109
D61K,4060110
D61L,4060111
D61M,4060112
D62A,4060201
D62B,4060202
D62C,4060203
D62D,4060204
D62E,4060205
D62F,4060206
D62G,4060207
D62H,4060208
D62J,4060209
D71A,4070101
D71B,4070102
D71C,4070103
D71D,4070104
D72A,4070201
D72B,4070202
D72C,4070203
D73A,4070301
D73B,4070302
D73C,4070303
D73D,4070304
D73E,4070305
D73F,4070306
D81A,4080101
D81B,4080102
D81C,4080103
D81D,4080104
D81E,4080105
D81F,4080106
D81G,4080107
D82A,4080201
D82B,4080202
D82C,4080203
D82D,4080204
D82E,4080205
D82F,4080206
D82G,4080207
D82H,4080208
D82J,4080209
D82K,4080210
D82L,4080211
E10A,5010001
E10B,5010002
E10C,5010003
E10D,5010004
E10E,5010005
E10F,5010006
E10G,5010007
E10H,5010008
E10J,5010009
E10K,5010010
E21A,5020101
E21B,5020102
E21C,5020103
E21D,5020104
E21E,5020105
E21F,5020106
E21G,5020107
E21H,5020108
E21J,5020109
E21K,5020110
E21L,5020111
E22A,5020201
E22B,5020202
E22C,5020203
E22D,5020204
E22E,5020205
E22F,5020206
E22G,5020207
E23A,5020301
E23B,5020302
E23C,5020303
E23D,5020304
E23E,5020305
E23F,5020306
E23G,5020307
E23H,5020308
E23J,5020309
E23K,5020310
E24A,5020401
E24B,5020402
E24C,5020403
E24D,5020404
E24E,5020405
E24F,5020406
E24G,5020407
E24H,5020408
E24J,5020409
E24K,5020410
E24L,5020411
E24M,5020412
E31A,5030101
E31B,5030102
E31C,5030103
E31D,5030104
E31E,5030105
E31F,5030106
E31G,5030107
E31H,5030108
E32A,5030201
E32B,5030202
E32C,5030203
E32D,5030204
E32E,5030205
E33A,5030301
E33B,5030302
E33C,5030303
E33D,5030304
E33E,5030305
E33F,5030306
E33G,5030307
E33H,5030308
E40A,5040001
E40B,5040002
E40C,5040003
E40D,5040004
F10A,6010001
F10B,6010002
F10C,6010003
F20A,6020001
F20B,6020002
F20C,6020003
F20D,6020004
F20E,6020005
F30A,6030001
F30B,6030002
F30C,6030003
F30D,6030004
F30E,6030005
F30F,6030006
F30G,6030007
F40A,6040001
F40B,6040002
F40C,6040003
F40D,6040004
F40E,6040005
F40F,6040006
F40G,6040007
F40H,6040008
F50A,6050001
F50B,6050002
F50C,6050003
F50D,6050004
F50E,6050005
F50F,6050006
F50G,6050007
F60A,6060001
F60B,6060002
F60C,6060003
F60D,6060004
F60E,6060005
G10A,7010001
G10B,7010002
G10C,7010003
G10D,7010004
G10E,7010005
G10F,7010006
G10G,7010007
G10H,7010008
G10J,7010009
G10K,7010010
G10L,7010011
G10M,7010012
G21A,7020101
G21B,7020102
G21C,7020103
G21D,7020104
G21E,7020105
G21F,7020106
G22A,7020201
G22B,7020202
G22C,7020203
G22D,7020204
G22E,7020205
G22F,7020206
G22G,7020207
G22H,7020208
G22J,7020209
G22K,7020210
G30A,7030001
G30B,7030002
G30C,7030003
G30D,7030004
G30E,7030005
G30F,7030006
G30G,7030007
G30H,7030008
G40A,7040001
G40B,7040002
G40C,7040003
G40D,7040004
G40E,7040005
G40F,7040006
G40G,7040007
G40H,7040008
G40J,7040009
G40K,7040010
G40L,7040011
G40M,7040012
G50A,7050001
G50B,7050002
G50C,7050003
G50D,7050004
G50E,7050005
G50F,7050006
G50G,7050007
G50H,7050008
G50J,7050009
G50K,7050010
H10A,8010001
H10B,8010002
H10C,8010003
H10D,8010004
H10E,8010005
H10F,8010006
H10G,8010007
H10H,8010008
H10J,8010009
H10K,8010010
H10L,8010011
H20A,8020001
H20B,8020002
H20C,8020003
H20D,8020004
H20E,8020005
H20F,8020006
H20G,8020007
H20H,8020008
H30A,8030001
H30B,8030002
H30C,8030003
H30D,8030004
H30E,8030005
H40A,8040001
H40B,8040002
H40C,8040003
H40D,8040004
H40E,8040005
H40F,8040006
H40G,8040007
H40H,8040008
H40J,8040009
H40K,8040010
H40L,8040011
H50A,8050001
H50B,8050002
H60A,8060001
H60B,8060002
H60C,8060003
H60D,8060004
H60E,8060005
H60F,8060006
H60G,8060007
H60H,8060008
H60J,8060009
H60K,8060010
H60L,8060011
H70A,8070001
H70B,8070002
H70C,8070003
H70D,8070004
H70E,8070005
H70F,8070006
H70G,8070007
H70H,8070008
H70J,8070009
H70K,8070010
H80A,8080001
H80B,8080002
H80C,8080003
H80D,8080004
H80E,8080005
H80F,8080006
H90A,8090001
H90B,8090002
H90C,8090003
H90D,8090004
H90E,8090005
J11A,9010101
J11B,9010102
J11C,9010103
J11D,9010104
J11E,9010105
J11F,9010106
J11G,9010107
J11H,9010108
J11J,9010109
J11K,9010110
J12A,9010201
J12B,9010202
J12C,9010203
J12D,9010204
J12E,9010205
J12F,9010206
J12G,9010207
J12H,9010208
J12J,9010209
J12K,9010210
J12L,9010211
J12M,9010212
J13A,9010301
J13B,9010302
J13C,9010303
J21A,9020101
J21B,9020102
J21C,9020103
J21D,9020104
J21E,9020105
J22A,9020201
J22B,9020202
J22C,9020203
J22D,9020204
J22E,9020205
J22F,9020206
J22G,9020207
J22H,9020208
J22J,9020209
J22K,9020210
J23A,9020301
J23B,9020302
J23C,9020303
J23D,9020304
J23E,9020305
J23F,9020306
J23G,9020307
J23H,9020308
J23J,9020309
J24A,9020401
J24B,9020402
J24C,9020403
J24D,9020404
J24E,9020405
J24F,9020406
J25A,9020501
J25B,9020502
J25C,9020503
J25D,9020504
J25E,9020505
J31A,9030101
J31B,9030102
J31C,9030103
J31D,9030104
J32A,9030201
J32B,9030202
J32C,9030203
J32D,9030204
J32E,9030205
J33A,9030301
J33B,9030302
J33C,9030303
J33D,9030304
J33E,9030305
J33F,9030306
J34A,9030401
J34B,9030402
J34C,9030403
J34D,9030404
J34E,9030405
J34F,9030406
J35A,9030501
J35B,9030502
J35C,9030503
J35D,9030504
J35E,9030505
J35F,9030506
